,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,1958,TRON,TRX,tron,905,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88205460457.21062,88205529904.73148,True,,11,71659659264.0,7837728823.20989,,2024-01-19T13:23:00.000Z,0.10937435237216328,280644209.2054475,28.9971,0.16828761,0.59908862,1.54734127,6.60173511,4.45678496,20.46434139,9647415113.195868,0.5907,9647422708.97,,2024-01-19T13:23:00.000Z,,,,,,2024-01-19 18:55:05.688259
11,1975,Chainlink,LINK,chainlink,1576,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,568099970.4527867,1000000000.0,False,,12,,,,2024-01-19T13:23:00.000Z,15.492116414590066,710504709.0556654,17.7338,0.30033289,2.54326528,2.73905312,6.34526136,2.88908293,91.58677408,8801070877.37975,0.5389,15492116414.59,,2024-01-19T13:23:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-01-19 18:55:05.688259
12,6636,Polkadot,DOT,polkadot-new,666,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1269141239.8189423,1401401741.527294,True,,13,,,,2024-01-19T13:23:00.000Z,6.923497388469678,238074284.0101579,31.3825,0.0215643,-2.77586574,-14.46812499,-1.71207064,27.07746233,82.47665405,8786896059.485617,0.538,9702601297.66,,2024-01-19T13:23:00.000Z,,,,,,2024-01-19 18:55:05.688259
13,11419,Toncoin,TON,toncoin,190,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3456976808.1944103,5101424157.946048,True,,14,3414166606.0,7672062138.722904,,2024-01-19T13:24:00.000Z,2.2471258799263483,60354262.53572214,14.0041,-0.15753333,0.36747657,3.21079963,2.18403329,-4.82407085,6.59474534,7768262051.998843,0.4757,11463542249.8,,2024-01-19T13:24:00.000Z,,,,,,2024-01-19 18:55:05.688259
14,3890,Polygon,MATIC,polygon,1246,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9620275440.456467,10000000000.0,False,,15,,,,2024-01-19T13:23:00.000Z,0.7916059528336244,374656525.6233865,-17.4177,0.02998753,-1.07578893,-14.80830664,0.30882301,-7.10799177,42.2942043,7615467306.564458,0.4663,7916059528.34,,2024-01-19T13:23:00.000Z,,,,,,2024-01-19 18:55:05.688259
0,1,Bitcoin,BTC,bitcoin,10759,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19602531.0,19602531.0,False,,1,,,,2024-01-19T13:25:00.000Z,41381.207822511984,26649774377.87974,34.3469,0.16779838,-2.33931715,-9.78671691,-4.3667947,11.12286827,39.11933981,811176409158.2336,49.6708,869005364272.75,,2024-01-19T13:25:00.000Z,,,,,,2024-01-19 18:56:07.005841
1,1027,Ethereum,ETH,ethereum,8283,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120177064.7486905,120177064.7486905,True,,2,,,,2024-01-19T13:25:00.000Z,2490.5655718115627,11517073256.63305,11.0211,0.30769142,-0.56171663,-6.96302187,11.63867397,22.95838852,55.05919096,299308859984.4575,18.3276,299308859984.46,,2024-01-19T13:25:00.000Z,,,,,,2024-01-19 18:56:07.005841
2,825,Tether USDt,USDT,tether,72138,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,95060023617.71117,98601637401.38153,True,,3,,,,2024-01-19T13:24:00.000Z,0.9990287373818428,46202045457.12934,16.824,0.01095598,0.00172415,-0.10247564,-0.07920017,-0.15130464,-0.12706108,94967695370.29015,5.8152,98505869316.88,,2024-01-19T13:24:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-19 18:56:07.005841
3,1839,BNB,BNB,bnb,2023,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149548994.65924242,149548994.65924242,False,,4,,,,2024-01-19T13:24:00.000Z,314.3734003880524,1091346053.113458,6.8161,0.19195079,0.91867793,0.82915769,21.52457262,27.07989655,47.86860029,47014225975.64073,2.8788,47014225975.64,,2024-01-19T13:24:00.000Z,,,,,,2024-01-19 18:56:07.005841
4,5426,Solana,SOL,solana,616,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,432790804.1914553,567391372.8526114,True,,5,,,,2024-01-19T13:25:00.000Z,94.48790420480674,2395650022.3980236,-12.9214,0.1893287,-3.7404345,-3.88953111,21.01724698,56.28890299,227.43262094,40893496047.1635,2.504,53611621684.73,,2024-01-19T13:25:00.000Z,,,,,,2024-01-19 18:56:07.005841
5,52,XRP,XRP,xrp,1207,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54339837728.0,99987984506.0,False,,6,,,,2024-01-19T13:25:00.000Z,0.5498590573854184,1128267798.110489,24.5502,0.08618899,-1.66825495,-8.16989924,-11.10590911,-11.87979941,6.52415905,29879251951.594677,1.8296,54985905738.54,,2024-01-19T13:25:00.000Z,,,,,,2024-01-19 18:56:07.005841
6,3408,USDC,USDC,usd-coin,16274,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25641056228.830334,25641056228.830334,False,,7,,,,2024-01-19T13:25:00.000Z,1.0000219501181706,6053392896.3195505,17.3472,-0.00796162,-0.01612,0.00317117,0.00666709,0.00829913,-0.00697963,25641619053.044575,1.5701,25641619053.04,,2024-01-19T13:25:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-01-19 18:56:07.005841
7,2010,Cardano,ADA,cardano,1033,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35400862784.445,36542697459.69,False,,8,,,,2024-01-19T13:24:00.000Z,0.49848881002935325,417005580.36824745,44.3281,-0.09287844,-2.59639604,-14.18189338,-16.33704058,27.45184103,94.43476353,17646933963.430405,1.0806,22431996451.32,,2024-01-19T13:24:00.000Z,,,,,,2024-01-19 18:56:07.005841
8,5805,Avalanche,AVAX,avalanche,641,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,366791606.9747032,434824516.9747032,False,,9,,,,2024-01-19T13:24:00.000Z,33.49436688732129,533847622.38055307,9.6606,-0.01512851,-4.11736711,-12.75335337,-21.97718956,53.22584762,252.45161205,12285452655.200865,0.7523,24115944158.87,,2024-01-19T13:24:00.000Z,,,,,,2024-01-19 18:56:07.005841
9,74,Dogecoin,DOGE,dogecoin,879,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,142716826383.7052,142716826383.7052,True,,10,,,,2024-01-19T13:25:00.000Z,0.07821359561242824,331964609.87941206,33.9422,0.27439792,-1.52341459,-7.88055735,-14.8666176,-3.63935298,29.11784722,11162396145.864248,0.6835,11162396145.86,,2024-01-19T13:25:00.000Z,,,,,,2024-01-19 18:56:07.005841
10,1958,TRON,TRX,tron,905,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88205460457.21062,88205529904.73148,True,,11,71659659264.0,7837719247.630645,,2024-01-19T13:24:00.000Z,0.109374218746364,280708758.1724457,29.0102,0.168456,0.60695471,1.53636352,6.59817176,4.45164881,20.46919535,9647403326.670713,0.5907,9647410922.44,,2024-01-19T13:24:00.000Z,,,,,,2024-01-19 18:56:07.005841
11,1975,Chainlink,LINK,chainlink,1576,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,568099970.4527867,1000000000.0,False,,12,,,,2024-01-19T13:24:00.000Z,15.497360933773543,710317955.8702793,17.6765,0.36212403,2.60170714,2.77505582,6.32122339,2.89561946,91.64545782,8804050288.57292,0.5391,15497360933.77,,2024-01-19T13:24:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-01-19 18:56:07.005841
12,6636,Polkadot,DOT,polkadot-new,666,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1269141239.8189423,1401401741.527294,True,,13,,,,2024-01-19T13:24:00.000Z,6.924925748888662,238011294.6941834,31.328,0.06351417,-2.7545616,-14.47314012,-1.69164385,27.09766465,82.49398906,8788708850.598675,0.5382,9704603004.44,,2024-01-19T13:24:00.000Z,,,,,,2024-01-19 18:56:07.005841
13,11419,Toncoin,TON,toncoin,190,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3456976808.1944103,5101424157.946048,True,,14,3414166606.0,7677798146.227948,,2024-01-19T13:25:00.000Z,2.2488059407338565,60460737.0645434,14.2201,0.0184323,0.4356276,3.29584264,2.27858401,-4.74172631,6.68503784,7774069983.246756,0.476,11472112952.59,,2024-01-19T13:25:00.000Z,,,,,,2024-01-19 18:56:07.005841
14,3890,Polygon,MATIC,polygon,1246,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9620275440.456467,10000000000.0,False,,15,,,,2024-01-19T13:24:00.000Z,0.7917709756355725,374453751.4710627,-17.5265,0.05797032,-1.0541552,-14.80657361,0.34088333,-7.11376578,42.32037203,7617054871.373154,0.4664,7917709756.36,,2024-01-19T13:24:00.000Z,,,,,,2024-01-19 18:56:07.005841
0,1,Bitcoin,BTC,bitcoin,10759,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19602531.0,19602531.0,False,,1,,,,2024-01-19T13:26:00.000Z,41366.06888100586,26649774377.87974,34.3469,0.13474505,-2.39382907,-9.93634795,-4.42969816,11.06009391,39.0557344,810879647588.0526,49.6527,868687446501.12,,2024-01-19T13:26:00.000Z,,,,,,2024-01-19 18:57:08.398314
1,1027,Ethereum,ETH,ethereum,8283,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120177064.7486905,120177064.7486905,True,,2,,,,2024-01-19T13:26:00.000Z,2490.71047238866,11517073256.63305,11.0211,0.33199574,-0.56979259,-7.14014936,11.6856596,22.99725377,55.03433885,299326273710.4935,18.3287,299326273710.49,,2024-01-19T13:26:00.000Z,,,,,,2024-01-19 18:57:08.398314
2,825,Tether USDt,USDT,tether,72138,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,95060023617.71117,98601637401.38153,True,,3,,,,2024-01-19T13:25:00.000Z,0.9989958449438588,46223238034.0674,16.8541,0.00712032,-0.00348871,-0.08380393,-0.07303783,-0.14499116,-0.13951781,94964568614.35855,5.815,98502626068.64,,2024-01-19T13:25:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-19 18:57:08.398314
3,1839,BNB,BNB,bnb,2023,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149548994.65924242,149548994.65924242,False,,4,,,,2024-01-19T13:25:00.000Z,314.57838050081983,1090420717.5281894,6.6107,0.27432621,0.92943821,0.86726119,21.6555638,27.11666071,47.9684311,47044880545.43024,2.8807,47044880545.43,,2024-01-19T13:25:00.000Z,,,,,,2024-01-19 18:57:08.398314
